% Model:              Thin film.mph
% Version:            COMSOL 5.3.1.275
% Date:               Jul 27 2021, 12:15
% Dimension:          1
% Nodes:              71
% Expressions:        1
% Description:        Line graph
% cln1x                   Height
-7.999999999999996E-7     2.5000000000011977E7
-7.607516462848322E-7     2.499999999999404E7
-7.547774284263342E-7     2.499999999999404E7
-7.466579239599703E-7     2.499999999997992E7
-7.095548568526677E-7     2.4999999999940395E7
-6.822549388544961E-7     2.499999999997616E7
-6.643322852790019E-7     2.499999999997616E7
-6.399737718799125E-7     2.4999999999904633E7
-6.191097137053355E-7     2.4999999999833107E7
-6.037582314241595E-7     2.499999999997616E7
-5.739013671806034E-7     2.4999999999878842E7
-5.329888581031992E-7     2.499999999989084E7
-5.284582480201593E-7     2.500000000001639E7
-5.251492519547889E-7     2.4999999999971688E7
-4.830297592352161E-7     2.5000000000070035E7
-4.465414147178948E-7     2.5000000000029802E7
-4.376012704502731E-7     2.5000000000083447E7
-4.2536060682827415E-7    2.499999999999404E7
-3.9217278166532995E-7    2.4999999999940395E7
-3.6793357748100073E-7    2.500000000001192E7
-3.4674429288038693E-7    2.499999999997616E7
-3.177694482727793E-7     2.500000000000083E7
-3.0114477447497644E-7    2.4999999999996588E7
-2.8889621542463385E-7    2.5000000000004705E7
-2.5554525606956595E-7    2.4999999999914877E7
-2.1027880326944822E-7    2.500000000003571E7
-2.0994573766415546E-7    2.5000000000047754E7
-2.0970034495548128E-7    2.5000000000047684E7
-1.6433989695598282E-7    2.5000000000029802E7
-1.3045000217735993E-7    2.499999999998063E7
-1.1873402204040401E-7    2.5000000000025332E7
-1.0291429532126208E-7    2.500000000008883E7
-7.295650161055425E-8     2.500000000004893E7
-5.0559738794316455E-8    2.500000000003499E7
-2.7178981180704505E-8    2.5000000000026047E7
4.094998864341434E-9      2.500000000005327E7
1.859587193002233E-8      2.4999999999990433E7
2.9419432248649717E-8     2.499999999996823E7
6.436497350127603E-8      2.5000000000078678E7
1.0935093420379966E-7     2.5000000000001986E7
1.1013407507252972E-7     2.5000000000047684E7
1.1117908622532526E-7     2.5000000000025332E7
1.5597405688863662E-7     2.499999999999404E7
1.8973632795332247E-7     2.499999999997745E7
2.0181220246568455E-7     2.500000000002575E7
2.1786794913766173E-7     2.49999999999712E7
2.476452149838176E-7      2.4999999999951426E7
2.700413409956355E-7      2.5000000000011623E7
2.9347822750195075E-7     2.4999999999948636E7
3.2463925953653035E-7     2.5000000000005767E7
3.393112400200838E-7      2.500000000001192E7
3.5048467757230546E-7     2.5000000000047684E7
3.853134876767848E-7      2.4999999999958277E7
4.306896366503851E-7      2.5000000000065565E7
4.313157353334858E-7      2.5000000000065565E7
4.317963021650402E-7      2.5000000000047684E7
4.773179829901869E-7      2.500000000011027E7
5.131079267577749E-7      2.5000000000078976E7
5.233202306468878E-7      2.5000000000038743E7
5.366251647300786E-7      2.500000000011921E7
5.693086681360295E-7      2.499999999989566E7
5.947231186826848E-7      2.499999999997616E7
6.154628179968616E-7      2.5000000000047684E7
6.42058305597611E-7       2.5000000000047684E7
6.615971134976461E-7      2.500000000011921E7
6.768338712096113E-7      2.500000000001192E7
7.077314089984307E-7      2.499999999997616E7
7.473527685325364E-7      2.499999999999404E7
7.538657044992153E-7      2.499999999997616E7
7.589446237365377E-7      2.4999999999995E7
7.999999999999995E-7      2.499999999999411E7
